"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\yumej\github\nikoichi\src\navigators\TabNavigator.js", "JavaScript", -326, -7, -30, -363
"c:\Users\yumej\github\nikoichi\src\screens\ChatRoomScreen.js", "JavaScript", -215, -22, -40, -277
"c:\Users\yumej\github\nikoichi\src\screens\ChatTabScreen.js", "JavaScript", -147, -50, -33, -230
"c:\Users\yumej\github\nikoichi\src\screens\ConfirmProfileScreen.js", "JavaScript", -71, -7, -11, -89
"c:\Users\yumej\github\nikoichi\src\screens\FromPartnerScreen.js", "JavaScript", -55, -3, -12, -70
"c:\Users\yumej\github\nikoichi\src\screens\LoadingScreen.js", "JavaScript", -20, 0, -6, -26
"c:\Users\yumej\github\nikoichi\src\screens\LoginScreen.js", "JavaScript", -84, -1, -7, -92
"c:\Users\yumej\github\nikoichi\src\screens\MatchUserTabScreen.js", "JavaScript", -107, -1, -14, -122
"c:\Users\yumej\github\nikoichi\src\screens\ProfileScreen.js", "JavaScript", -113, -3, -14, -130
"c:\Users\yumej\github\nikoichi\src\screens\RegisterScreen.js", "JavaScript", -244, -5, -23, -272
"c:\Users\yumej\github\nikoichi\src\screens\SearchTabScreen.js", "JavaScript", -38, 0, -8, -46
"c:\Users\yumej\github\nikoichi\src\screens\SwipeScreen.js", "JavaScript", -58, -4, -13, -75
"Total", "-", -1478, -103, -211, -1792